ID;Buts;PD;B+PD;B-PénM;PénM;PénT;CJ;CR;ID équipe;equipe
431;1;0;1;1;0;0;0;0;14;Reims
432;0;0;0;0;0;0;0;0;2;Auxerre
433;1;0;1;1;0;0;3;0;4;Le Havre
434;0;0;0;0;0;0;0;0;8;Marseille
435;0;0;0;0;0;0;0;0;17;Strasbourg
436;2;7;9;2;0;0;4;0;3;Brest
437;0;0;0;0;0;0;1;0;7;Lyon
438;10;10;20;10;0;0;1;0;2;Auxerre
439;0;0;0;0;0;0;0;0;1;Angers
440;0;3;3;0;0;0;4;0;16;Saint-Étienne
441;0;0;0;0;0;0;2;0;17;Strasbourg
442;0;0;0;0;0;0;1;0;5;Lens
443;7;4;11;7;0;0;4;0;8;Marseille
444;10;3;13;8;2;2;0;0;13;Paris S-G
445;0;3;3;0;0;0;0;2;1;Angers
446;1;0;1;1;0;0;3;0;2;Auxerre
447;0;1;1;0;0;0;1;0;18;Toulouse
448;1;1;2;1;0;0;10;0;6;Lille
449;0;0;0;0;0;0;0;0;7;Lyon
450;3;1;4;3;0;0;5;0;8;Marseille
451;3;1;4;2;1;1;6;1;12;Nice
452;0;0;0;0;0;0;2;0;15;Rennes
453;3;2;5;3;0;0;2;0;8;Marseille
454;4;4;8;4;0;0;1;0;13;Paris S-G
455;0;0;0;0;0;0;1;0;8;Marseille
456;0;0;0;0;0;0;0;0;5;Lens
457;0;0;0;0;0;0;1;0;4;Le Havre
458;0;1;1;0;0;0;1;0;10;Montpellier
459;0;0;0;0;0;0;0;0;13;Paris S-G
460;2;0;2;2;0;0;10;0;10;Montpellier
461;3;3;6;3;0;0;1;0;6;Lille
462;3;0;3;3;0;0;4;0;5;Lens
463;1;0;1;1;0;0;3;0;10;Montpellier
464;1;1;2;1;0;0;0;0;3;Brest
465;0;0;0;0;0;0;0;0;14;Reims
466;1;0;1;1;0;0;2;0;9;Monaco
467;0;0;0;0;0;0;3;0;4;Le Havre
468;0;0;0;0;0;0;0;0;7;Lyon
469;2;3;5;2;0;0;3;0;7;Lyon
470;0;0;0;0;0;0;3;0;15;Rennes
471;0;0;0;0;0;0;1;0;15;Rennes
472;3;0;3;3;0;0;4;1;4;Le Havre
473;0;2;2;0;0;0;3;0;14;Reims
474;3;0;3;3;0;0;0;0;12;Nice
475;0;0;0;0;0;0;1;0;12;Nice
476;0;1;1;0;0;0;1;0;12;Nice
477;9;3;12;9;0;0;8;0;17;Strasbourg
478;0;0;0;0;0;0;1;0;6;Lille
479;0;0;0;0;0;0;0;0;5;Lens
480;0;1;1;0;0;0;4;0;17;Strasbourg
481;0;0;0;0;0;0;0;0;5;Lens
482;2;5;7;0;2;2;3;1;10;Montpellier
483;0;1;1;0;0;0;0;0;18;Toulouse
484;0;0;0;0;0;0;0;0;17;Strasbourg
485;0;0;0;0;0;0;4;0;15;Rennes
486;0;0;0;0;0;0;1;0;14;Reims
487;0;0;0;0;0;0;3;0;17;Strasbourg
488;0;3;3;0;0;0;1;0;18;Toulouse
489;5;1;6;3;2;2;4;0;18;Toulouse
490;0;6;6;0;0;0;3;0;9;Monaco
491;7;2;9;7;0;0;2;0;3;Brest
492;7;9;16;4;3;3;2;0;11;Nantes
493;4;8;12;3;1;1;5;0;2;Auxerre
494;1;2;3;1;0;0;4;0;9;Monaco
495;0;0;0;0;0;0;0;0;15;Rennes
496;3;1;4;2;1;1;1;0;16;Saint-Étienne
497;0;0;0;0;0;0;0;0;14;Reims
498;1;0;1;1;0;0;4;0;15;Rennes
499;0;0;0;0;0;0;1;0;13;Paris S-G
500;0;0;0;0;0;0;0;0;18;Toulouse
501;0;0;0;0;0;0;2;0;17;Strasbourg
502;1;1;2;1;0;0;2;1;5;Lens
503;5;3;8;5;0;0;0;0;4;Le Havre
504;0;1;1;0;0;0;2;0;17;Strasbourg
505;1;0;1;1;0;0;1;0;17;Strasbourg
506;10;4;14;10;0;0;4;0;16;Saint-Étienne
507;0;0;0;0;0;0;1;0;8;Marseille
508;0;6;6;0;0;0;0;0;18;Toulouse
509;1;0;1;1;0;0;2;1;17;Strasbourg
